@relation Features-weka.filters.unsupervised.attribute.Remove-R2-4

@attribute label {False,True}
@attribute Cosine numeric

@data
False,0.385164
True,0.229416
True,0.364998
True,0.151717
False,0.084515
True,0.158114
True,0.866025
True,0.412393
False,0
True,0.483046
True,0.096225
